File_Name,AQI
satellite_screenshot_0_AQI_82.png,82
satellite_screenshot_1_AQI_82.png,82
satellite_screenshot_2_AQI_82.png,82
satellite_screenshot_3_AQI_82.png,82
satellite_screenshot_4_AQI_82.png,82
satellite_screenshot_5_AQI_82.png,82
satellite_screenshot_6_AQI_82.png,82
satellite_screenshot_7_AQI_82.png,82
satellite_screenshot_8_AQI_82.png,82
satellite_screenshot_9_AQI_82.png,82
satellite_screenshot_10_AQI_82.png,82
satellite_screenshot_11_AQI_82.png,82
satellite_screenshot_12_AQI_82.png,82
satellite_screenshot_13_AQI_82.png,82
satellite_screenshot_14_AQI_82.png,82
satellite_screenshot_15_AQI_82.png,82
satellite_screenshot_16_AQI_82.png,82
satellite_screenshot_17_AQI_82.png,82
satellite_screenshot_18_AQI_82.png,82
satellite_screenshot_19_AQI_82.png,82
satellite_screenshot_20_AQI_60.png,60
satellite_screenshot_21_AQI_60.png,60
satellite_screenshot_22_AQI_60.png,60
satellite_screenshot_23_AQI_60.png,60
satellite_screenshot_24_AQI_60.png,60
satellite_screenshot_25_AQI_60.png,60
satellite_screenshot_26_AQI_60.png,60
satellite_screenshot_27_AQI_60.png,60
satellite_screenshot_28_AQI_60.png,60
satellite_screenshot_29_AQI_60.png,60
satellite_screenshot_30_AQI_60.png,60
satellite_screenshot_31_AQI_60.png,60
satellite_screenshot_32_AQI_60.png,60
satellite_screenshot_33_AQI_60.png,60
satellite_screenshot_34_AQI_60.png,60
satellite_screenshot_35_AQI_60.png,60
satellite_screenshot_36_AQI_60.png,60
satellite_screenshot_37_AQI_60.png,60
satellite_screenshot_38_AQI_53.png,53
satellite_screenshot_39_AQI_53.png,53
satellite_screenshot_40_AQI_53.png,53
satellite_screenshot_41_AQI_53.png,53
satellite_screenshot_42_AQI_53.png,53
satellite_screenshot_43_AQI_53.png,53
satellite_screenshot_44_AQI_53.png,53
satellite_screenshot_45_AQI_53.png,53
satellite_screenshot_46_AQI_53.png,53
satellite_screenshot_47_AQI_53.png,53
satellite_screenshot_48_AQI_53.png,53
satellite_screenshot_49_AQI_53.png,53
satellite_screenshot_50_AQI_53.png,53
satellite_screenshot_51_AQI_53.png,53
satellite_screenshot_52_AQI_55.png,55
satellite_screenshot_53_AQI_55.png,55
satellite_screenshot_54_AQI_55.png,55
satellite_screenshot_55_AQI_55.png,55
satellite_screenshot_56_AQI_55.png,55
satellite_screenshot_57_AQI_55.png,55
satellite_screenshot_58_AQI_52.png,52
satellite_screenshot_59_AQI_52.png,52
satellite_screenshot_60_AQI_52.png,52
satellite_screenshot_61_AQI_52.png,52
satellite_screenshot_62_AQI_52.png,52
satellite_screenshot_63_AQI_52.png,52
satellite_screenshot_64_AQI_52.png,52
satellite_screenshot_65_AQI_52.png,52
satellite_screenshot_66_AQI_52.png,52
satellite_screenshot_67_AQI_52.png,52
satellite_screenshot_68_AQI_52.png,52
